Feature,Importance_Mean,Importance_Std
study_hours_per_day,0.7605448749208196,3.764656686696313e-12
sleep_hours,0.18994298443594776,2.3278600929685078e-12
academic_engagement_score,0.12350579664406738,0.013821302044476156
phone_usage_hours,0.12075716087800421,0.002412093429703836
stress_focus_balance,0.09994309241305002,0.0020551824390069723
focus_score,0.08095171288794246,7.355886669718187e-05
assignments_completed,0.06288688628572767,3.887848120709719e-05
stress_level,0.05592710667634139,5.613627374868885e-05
digital_distraction_score,0.023853548158412518,9.266277693358517e-12
healthy_lifestyle_score,0.016459376528560055,3.817066140782685e-11
exercise_minutes,0.01200459803042402,0.0002976718085471901
attendance_percentage,0.011336898672514816,0.0006310004274297019
social_media_hours,0.005985823695535064,0.00017923924193782975
gaming_hours,0.0035895488469111503,0.0002445135753282168
youtube_hours,0.0035211389562329275,0.0016172015347579371
caffeine_stress_interaction,1.6188561602348273e-10,0.00034004621745448046
coffee_intake_mg,3.047716523596478e-11,0.00031016037833170345
breaks_per_day,2.989264391572988e-12,0.0017695629810930307
gender_encoded,-7.4451556031363e-14,8.225933120356907e-12
study_to_phone_ratio,-4.1997516575520424e-13,0.0018911187412921418
age,-3.240785417801817e-12,7.513898927387939e-12
break_efficiency_score,-8.309108956439104e-12,2.12605108331637e-11
